"no","yes","MeanDecreaseAccuracy","MeanDecreaseGini","feature"
38.6879219848791,15.0442109181171,41.912508113406,670.409699642043,"age"
8.06692639166807,6.1114220516513,10.4202254258945,734.334919521995,"avg_bank_balance"
12.4034888449757,16.1313504362061,20.0535714850607,208.177081778437,"no_of_campaigns"
15.5536231599211,13.3824284394407,16.175153555894,168.449747302329,"previous_no_of_contacts"
30.2165766256889,21.6432391281251,47.3256623680447,479.413759200303,"previous_outcome"
97.8637033193613,27.0368561678908,102.477041442328,772.128067921415,"month"
68.4696373802961,8.50434840762191,69.6542772558749,600.685549395849,"day"
57.4827090210521,4.38451623349295,59.7893331695651,135.967858964119,"contact_type"
7.57586567527939,10.1598864596623,12.2990458209846,84.7098338703907,"campaign_intensity"
16.9469033996617,11.7679821870149,17.1068960402986,60.3366335539167,"previous_contacts"
125.547168741232,205.669884296915,193.777777467059,1902.22468613057,"contact_duration"
